concept,cat_syndrome,cat_pathogen,cat_drug,exp_time_of_year,exp_drug,exp_abx,exp_XRT,exp_food,exp_travel,exp_environment,exp_workplace_exposures,exp_close_contact,exp_sexual,exp_animals,exp_bites,exp_insects,exp_sick_contacts,hx_age,hx_allergy,hx_vaccination,hx_pathogens,hx_infection,hx_comorbidities,hx_immunocompromise,hx_surgery,hx_prosthetics_hardware,comments
endophthalmitis,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,
uveitis,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,
periocular_infxns,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
viral_hepatitis,1.0,,,,1.0,,,1.0,1.0,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,
HIV_epi,1.0,,,,1.0,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,
HIV_diagnosis,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,
HIV_immunology,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,
HIV_clinical_manifestations,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,
HIV_pulmonary_manifestations,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,
HIV_GI_abd_manifestations,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,
HIV_CNS_manifestations,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,
HIV_pediatric,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,
HIV_OIs,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,
Mpox,,1.0,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,1.0,,,,1.0,,,
HSV_1,,1.0,,,,,,,,,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,,
HSV_2,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,1.0,,,
VZV_zoster,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,
CMV,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,1.0,1.0,,
EBV,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,
HHV6,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,
HHV8_Kaposi,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,
adenovirus,,1.0,,,,,,,,1.0,,1.0,,,,,1.0,1.0,,,,,,1.0,,,
HPV,,1.0,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,
JC_virus,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,
BK_virus,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
HBV,,1.0,,,1.0,,,,1.0,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,
rota_virus,,1.0,,1.0,,,,,,,,1.0,,,,,1.0,1.0,,1.0,,,,,,,
chkungunya,,1.0,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,
EEE,,1.0,,1.0,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,
rubella,,1.0,,,,,,,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,,
dengue,,1.0,,1.0,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,
yellow_fever,,1.0,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,
WNV,,1.0,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,
Zika,,1.0,,,,,,,1.0,,,,1.0,,,1.0,,1.0,,,,,,,,,
HCV,,1.0,,,1.0,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,1.0,,
SARS_CoV_2,,1.0,,,,,,,,,,1.0,,,,,1.0,1.0,,1.0,,,1.0,,,,
parainfluenza,,1.0,,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,,,1.0,,,,
mumps,,1.0,,,,,,,,,,1.0,,,,,1.0,1.0,,1.0,,,,,,,
RSV,,1.0,,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,,,1.0,,,,
human_metapneumovirus,,1.0,,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,,,1.0,,,,
measles,,1.0,,,,,,,1.0,,,1.0,,,,,1.0,1.0,,1.0,,,,,,,
rabies,,1.0,,,,,,,1.0,,,,,1.0,1.0,,,,,1.0,,,,,,,
marburg_ebola_lassa,,1.0,,,,,,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,
influenza,,1.0,,1.0,,,,,,,,1.0,,1.0,,,1.0,1.0,,1.0,,,1.0,,,,
hantavirus,,1.0,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,
LCMV,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,
HTLV,,1.0,,,1.0,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,
HIV,,1.0,,,1.0,,,,1.0,,,,1.0,,,,,1.0,,,1.0,1.0,,,,,
polio,,1.0,,,,,,,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,,
coxsackie,,1.0,,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,
hep_A_virus,,1.0,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,,
rhinovirus,,1.0,,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,
norovirus,,1.0,,,,,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,
chlamydia_psittaci,,1.0,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,
chlamydia_pneumoniae,,1.0,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,
chlamydia_trachomatis,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,
mycoplasma_pneumoniae,,1.0,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,
mycoplasma_genitalium,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,
rickettsia_rickettsii,,1.0,,1.0,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,
rickettsia_prowazekii,,1.0,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,
rickettsia_typhi,,1.0,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,
orentia_tsutsugamushi,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,
anaplasma_phagocytophilum,,1.0,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,
ehrlichia_chaffeensis,,1.0,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,
coxiella_burnetti,,1.0,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,
staph_aureus,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,
staph_epidermidis,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,
staph_lugdunensis,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,
strep_pyogenes,,1.0,,,,,,,,,,1.0,,,,,1.0,1.0,,1.0,,1.0,,,,,
strep_agalactiae,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,
strep_pneumoniae,,1.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,1.0,,,
strep_bovis,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,
strep_anginosus,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
strep_viridans_other,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,
coryne_diphtheriae,,1.0,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,
coryne_striatum,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,
listeria,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,1.0,,,
bacillus_anthracis,,1.0,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,
erysipelothrix,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,
neiserria_gonorrhoeae,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,1.0,,,,,
neiserria_meningitidis,,1.0,,,,,,,,,,1.0,,,,,1.0,1.0,,1.0,,,1.0,1.0,,,
moraxella_catarrhalis,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,
kingella_kingae,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,
vibrio_cholerae,,1.0,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,
vibrio_other,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,
campy_jejuni,,1.0,,,,,,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,
h_pylori,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,
ETEC,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
EHEC,,1.0,,,,,,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,
shigella,,1.0,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,
